"name","email","phone","company","source","status","company_size","interactions_count","previous_deals","deal_value","days_since_last_interaction","converted"
"Sage Monroe","lead221@example.test","+1-202-555-1221","Northstar Analytics 221","Google Ads","converted","1951","9","5","66621.37","73","1"
"Emerson Sawyer","lead222@example.test","+1-202-555-1222","Silver Birch Works 222","Google Ads","lost","1582","11","3","196191.19","127","0"
"Parker Dawson","lead223@example.test","+1-202-555-1223","Clearpath Solutions 223","Website","lost","673","9","1","82919.1","41","0"
"Cameron Reed","lead224@example.test","+1-202-555-1224","Keystone Commerce 224","Google Ads","contacted","1718","14","3","11800.68","31","1"
"Parker Young","lead225@example.test","+1-202-555-1225","Evergreen Labs 225","Cold Call","converted","1097","6","5","183252.46","63","1"
"Hayden Young","lead226@example.test","+1-202-555-1226","Lighthouse Logistics 226","Referral","qualified","1989","2","5","162785.19","72","0"
"Quinn Dawson","lead227@example.test","+1-202-555-1227","Horizon Commerce 227","LinkedIn","converted","207","13","3","34957.55","77","1"
"Sage Keller","lead228@example.test","+1-202-555-1228","Blue Oak Media 228","Website","converted","1801","15","5","63855.07","40","1"
"Drew Young","lead229@example.test","+1-202-555-1229","Evergreen Solutions 229","Referral","converted","273","10","1","53493.5","68","1"
"Parker Reed","lead230@example.test","+1-202-555-1230","Summit Commerce 230","LinkedIn","lost","1607","2","1","56033.77","85","0"
"Hayden Carter","lead231@example.test","+1-202-555-1231","Atlas Supply 231","Website","lost","704","10","3","68714.78","148","0"
"Riley Monroe","lead232@example.test","+1-202-555-1232","Keystone Supply 232","LinkedIn","converted","733","13","4","103358.27","65","1"
"Jordan Sawyer","lead233@example.test","+1-202-555-1233","Horizon Logistics 233","LinkedIn","lost","1563","3","2","124400.42","55","0"
"Alex Sawyer","lead234@example.test","+1-202-555-1234","Blue Oak Labs 234","Website","converted","1255","12","5","173622.74","81","1"
"Kendall Keller","lead235@example.test","+1-202-555-1235","Lighthouse Health 235","Referral","contacted","1319","4","5","159364.35","33","1"
"Kendall Keller","lead236@example.test","+1-202-555-1236","Summit Works 236","LinkedIn","contacted","1525","9","0","21965.87","129","0"
"Quinn Carter","lead237@example.test","+1-202-555-1237","Silver Birch Systems 237","Referral","converted","224","13","2","15178.98","29","1"
"Skyler Dawson","lead238@example.test","+1-202-555-1238","Evergreen Systems 238","Email Campaign","converted","844","10","4","114295.95","55","1"
"Drew West","lead239@example.test","+1-202-555-1239","Clearpath Partners 239","Email Campaign","contacted","1452","6","0","8580.9","123","0"
"Hayden Whitaker","lead240@example.test","+1-202-555-1240","Pioneer Works 240","LinkedIn","new","76","14","2","136782.34","162","0"
"Jamie Whitaker","lead241@example.test","+1-202-555-1241","Evergreen Ventures 241","Google Ads","converted","971","15","1","41065.08","61","1"
"Hayden Dawson","lead242@example.test","+1-202-555-1242","Clearpath Commerce 242","Referral","contacted","1049","7","4","22994.17","11","1"
"Quinn Nolan","lead243@example.test","+1-202-555-1243","Clearpath Labs 243","Email Campaign","converted","1969","13","5","143049.93","48","1"
"Casey Turner","lead244@example.test","+1-202-555-1244","Evergreen Media 244","LinkedIn","lost","1290","1","4","160614.29","61","0"
"Parker Griffin","lead245@example.test","+1-202-555-1245","Atlas Media 245","Cold Call","lost","1406","1","5","93514.68","66","0"
"Hayden Dawson","lead246@example.test","+1-202-555-1246","Oakridge Works 246","Referral","contacted","1863","0","3","33810.78","48","0"
"Cameron Keller","lead247@example.test","+1-202-555-1247","Pioneer Works 247","Cold Call","qualified","1838","0","3","54783.44","105","0"
"Rowan Young","lead248@example.test","+1-202-555-1248","Blue Oak Logistics 248","Google Ads","qualified","430","12","2","154700.71","133","0"
"Sage Ellis","lead249@example.test","+1-202-555-1249","Keystone Partners 249","Email Campaign","contacted","186","4","0","154833.54","75","0"
"Kendall Foster","lead250@example.test","+1-202-555-1250","Brightline Works 250","Facebook","qualified","253","11","3","113003.11","173","0"
"Morgan Turner","lead251@example.test","+1-202-555-1251","Evergreen Systems 251","Email Campaign","qualified","628","8","4","74459.89","151","1"
"Emerson Keller","lead252@example.test","+1-202-555-1252","Cedar Systems 252","Referral","qualified","821","11","3","142000.91","34","1"
"Avery Sawyer","lead253@example.test","+1-202-555-1253","Summit Analytics 253","Google Ads","new","1547","1","1","129428.67","56","0"
"Jamie West","lead254@example.test","+1-202-555-1254","Summit Partners 254","Facebook","converted","1405","9","2","174952.62","81","1"
"Riley Dawson","lead255@example.test","+1-202-555-1255","Lighthouse Solutions 255","Facebook","lost","162","3","1","43543","47","0"
"Sage Nolan","lead256@example.test","+1-202-555-1256","Redwood Health 256","Email Campaign","new","151","6","1","5907.55","155","0"
"Reese Bennett","lead257@example.test","+1-202-555-1257","Silver Birch Supply 257","Referral","converted","281","15","5","104977.7","88","1"
"Rowan Turner","lead258@example.test","+1-202-555-1258","Pioneer Logistics 258","LinkedIn","contacted","1980","1","0","129176.33","105","0"
"Avery Dawson","lead259@example.test","+1-202-555-1259","Atlas Systems 259","Referral","contacted","1954","15","2","5448.16","16","1"
"Parker Carter","lead260@example.test","+1-202-555-1260","Evergreen Logistics 260","Website","new","1605","4","5","58358.65","106","0"
"Sage Whitaker","lead261@example.test","+1-202-555-1261","Atlas Analytics 261","Google Ads","converted","1160","12","3","167269.93","25","1"
"Reese Bennett","lead262@example.test","+1-202-555-1262","Oakridge Health 262","Facebook","lost","1219","10","1","158515.53","152","0"
"Avery Warren","lead263@example.test","+1-202-555-1263","Summit Supply 263","Cold Call","qualified","1838","9","1","155513.9","164","0"
"Emerson Keller","lead264@example.test","+1-202-555-1264","Redwood Works 264","Google Ads","converted","1341","14","5","129029.84","86","1"
"Hayden Bennett","lead265@example.test","+1-202-555-1265","Lighthouse Systems 265","Referral","converted","1939","9","3","58553.63","27","1"
"Jordan West","lead266@example.test","+1-202-555-1266","Blue Oak Media 266","Cold Call","new","1871","1","0","70143.42","21","0"
"Taylor Jensen","lead267@example.test","+1-202-555-1267","Clearpath Analytics 267","Website","converted","853","15","3","20173.05","54","1"
"Riley Foster","lead268@example.test","+1-202-555-1268","Redwood Solutions 268","Facebook","lost","328","8","1","36524.17","44","0"
"Avery Young","lead269@example.test","+1-202-555-1269","Keystone Logistics 269","Email Campaign","contacted","1890","13","1","165094.62","46","1"
"Drew Turner","lead270@example.test","+1-202-555-1270","Summit Logistics 270","Website","qualified","980","4","0","46267.66","128","0"
"Quinn Sawyer","lead271@example.test","+1-202-555-1271","Pioneer Health 271","Email Campaign","converted","890","15","4","126373.68","87","1"
"Rowan Lawson","lead272@example.test","+1-202-555-1272","Redwood Solutions 272","LinkedIn","converted","1886","10","5","66637.83","61","1"
"Avery Warren","lead273@example.test","+1-202-555-1273","Summit Analytics 273","Cold Call","contacted","1026","10","5","82417.17","68","1"
"Avery Whitaker","lead274@example.test","+1-202-555-1274","Evergreen Health 274","LinkedIn","new","1351","0","5","85052.96","103","0"
"Hayden Keller","lead275@example.test","+1-202-555-1275","Pioneer Supply 275","Email Campaign","converted","525","10","4","168713.54","60","1"
"Rowan Whitaker","lead276@example.test","+1-202-555-1276","Horizon Ventures 276","Referral","new","1109","14","1","59945.2","0","1"
"Drew Foster","lead277@example.test","+1-202-555-1277","Pioneer Logistics 277","Google Ads","contacted","1965","1","2","110249.11","98","0"
"Avery Dawson","lead278@example.test","+1-202-555-1278","Horizon Systems 278","Referral","contacted","1722","9","4","168740.6","32","1"
"Avery Nolan","lead279@example.test","+1-202-555-1279","Summit Health 279","LinkedIn","qualified","893","11","5","51010.35","135","1"
"Drew Sawyer","lead280@example.test","+1-202-555-1280","Oakridge Health 280","Cold Call","lost","1694","15","2","29897.1","155","0"
"Morgan Harper","lead281@example.test","+1-202-555-1281","Clearpath Ventures 281","LinkedIn","qualified","1803","10","0","114107.23","12","0"
"Hayden Sawyer","lead282@example.test","+1-202-555-1282","Clearpath Ventures 282","Website","converted","1437","12","2","112544.09","52","1"
"Morgan Young","lead283@example.test","+1-202-555-1283","Lighthouse Media 283","Email Campaign","lost","458","1","0","156398.96","103","0"
"Emerson Harper","lead284@example.test","+1-202-555-1284","Blue Oak Systems 284","Email Campaign","lost","1803","5","0","180906.99","179","0"
"Emerson Keller","lead285@example.test","+1-202-555-1285","Blue Oak Media 285","Google Ads","lost","546","8","5","110210.54","134","0"
"Jamie West","lead286@example.test","+1-202-555-1286","Cedar Commerce 286","Google Ads","lost","1271","1","3","119657.69","28","0"
"Cameron Harper","lead287@example.test","+1-202-555-1287","Clearpath Labs 287","Facebook","contacted","1689","4","0","75903.95","23","0"
"Emerson Monroe","lead288@example.test","+1-202-555-1288","Evergreen Commerce 288","Facebook","new","855","0","3","82821.25","73","0"
"Rowan Monroe","lead289@example.test","+1-202-555-1289","Pioneer Commerce 289","Referral","converted","683","15","5","134769.02","44","1"
"Sage Reed","lead290@example.test","+1-202-555-1290","Atlas Media 290","Facebook","lost","1366","12","1","36062.47","40","0"
"Rowan Ellis","lead291@example.test","+1-202-555-1291","Cedar Ventures 291","Email Campaign","converted","1225","15","5","119108.29","2","1"
"Riley Whitaker","lead292@example.test","+1-202-555-1292","Blue Oak Logistics 292","Facebook","new","1913","13","1","26554.07","131","1"
"Cameron Warren","lead293@example.test","+1-202-555-1293","Redwood Works 293","Referral","new","669","13","4","28289.62","150","0"
"Parker Harper","lead294@example.test","+1-202-555-1294","Lighthouse Systems 294","Website","contacted","988","9","2","119737.2","80","1"
"Jordan Bennett","lead295@example.test","+1-202-555-1295","Redwood Partners 295","Facebook","qualified","1617","11","1","195431.11","48","1"
"Morgan Dawson","lead296@example.test","+1-202-555-1296","Cedar Supply 296","Cold Call","contacted","732","1","0","123067.99","133","0"
"Alex Turner","lead297@example.test","+1-202-555-1297","Redwood Analytics 297","Google Ads","contacted","979","12","2","177438.34","65","0"
"Cameron Turner","lead298@example.test","+1-202-555-1298","Brightline Works 298","LinkedIn","contacted","625","6","0","151983.23","179","0"
"Jordan Monroe","lead299@example.test","+1-202-555-1299","Horizon Health 299","Referral","qualified","1508","7","1","118309.02","138","0"
"Emerson Sawyer","lead300@example.test","+1-202-555-1300","Blue Oak Analytics 300","Facebook","qualified","182","4","4","193648.21","115","1"
"Jamie Whitaker","lead301@example.test","+1-202-555-1301","Horizon Supply 301","LinkedIn","contacted","215","0","4","180857.74","1","0"
"Cameron Foster","lead302@example.test","+1-202-555-1302","Atlas Analytics 302","Website","converted","1897","11","5","124032.47","24","1"
"Drew Reed","lead303@example.test","+1-202-555-1303","Clearpath Logistics 303","Website","converted","1646","7","5","107298.01","43","1"
"Hayden Palmer","lead304@example.test","+1-202-555-1304","Clearpath Analytics 304","Google Ads","contacted","1963","0","0","178955.06","3","0"
"Kendall Foster","lead305@example.test","+1-202-555-1305","Northstar Systems 305","Website","new","735","9","2","25187.92","141","0"
"Morgan Monroe","lead306@example.test","+1-202-555-1306","Clearpath Systems 306","Facebook","qualified","1374","15","1","59408.11","121","1"
"Jamie Young","lead307@example.test","+1-202-555-1307","Silver Birch Solutions 307","Facebook","lost","1059","3","0","199378.57","150","0"
"Cameron Griffin","lead308@example.test","+1-202-555-1308","Redwood Systems 308","Google Ads","converted","693","13","5","162777.86","69","1"
"Alex Foster","lead309@example.test","+1-202-555-1309","Northstar Solutions 309","Google Ads","qualified","1498","6","0","94563.92","128","0"
"Alex Nolan","lead310@example.test","+1-202-555-1310","Silver Birch Ventures 310","Referral","lost","942","14","1","125404.39","93","0"
"Cameron Whitaker","lead311@example.test","+1-202-555-1311","Horizon Commerce 311","Website","new","729","1","4","22413.57","133","0"
"Avery Harper","lead312@example.test","+1-202-555-1312","Blue Oak Media 312","Facebook","converted","1431","11","5","181713.53","87","1"
"Drew Carter","lead313@example.test","+1-202-555-1313","Horizon Health 313","Referral","lost","1353","5","4","139809.91","65","0"
"Kendall Carter","lead314@example.test","+1-202-555-1314","Pioneer Systems 314","Google Ads","converted","1051","13","4","113614.43","82","1"
"Rowan Keller","lead315@example.test","+1-202-555-1315","Brightline Partners 315","Website","new","729","13","0","187384.62","141","0"
"Cameron Jensen","lead316@example.test","+1-202-555-1316","Northstar Commerce 316","Website","contacted","1141","12","3","61476.49","126","1"
"Parker Turner","lead317@example.test","+1-202-555-1317","Cedar Ventures 317","Email Campaign","qualified","1037","15","1","176254.3","36","1"
"Parker Dawson","lead318@example.test","+1-202-555-1318","Summit Health 318","Google Ads","contacted","1173","4","5","58591.09","33","1"
"Jamie Foster","lead319@example.test","+1-202-555-1319","Clearpath Logistics 319","Cold Call","contacted","397","2","4","90212.51","29","0"
"Hayden Lawson","lead320@example.test","+1-202-555-1320","Keystone Media 320","LinkedIn","converted","588","15","5","27400.91","27","1"
"Quinn Sawyer","lead321@example.test","+1-202-555-1321","Evergreen Analytics 321","Referral","lost","1380","1","4","131167.9","67","0"
"Taylor Reed","lead322@example.test","+1-202-555-1322","Northstar Logistics 322","Email Campaign","converted","67","14","1","79775.01","89","1"
"Cameron Sawyer","lead323@example.test","+1-202-555-1323","Summit Labs 323","Referral","qualified","1994","13","2","66068","74","1"
"Reese Foster","lead324@example.test","+1-202-555-1324","Evergreen Logistics 324","Website","new","1073","2","4","30303.78","173","0"
"Kendall West","lead325@example.test","+1-202-555-1325","Oakridge Analytics 325","Email Campaign","converted","1135","14","3","177017.06","80","1"
"Jamie Dawson","lead326@example.test","+1-202-555-1326","Horizon Partners 326","Cold Call","qualified","1852","5","0","143766.39","47","1"
"Jamie Nolan","lead327@example.test","+1-202-555-1327","Horizon Supply 327","Referral","lost","757","12","2","99616.51","174","0"
"Reese Sawyer","lead328@example.test","+1-202-555-1328","Atlas Ventures 328","Cold Call","converted","111","10","5","182367.12","53","1"
"Cameron Carter","lead329@example.test","+1-202-555-1329","Atlas Ventures 329","LinkedIn","lost","1831","12","2","73534.83","168","0"
"Sage Carter","lead330@example.test","+1-202-555-1330","Blue Oak Labs 330","LinkedIn","contacted","1948","13","0","23517","12","1"
"Casey Reed","lead331@example.test","+1-202-555-1331","Silver Birch Media 331","Email Campaign","converted","1528","12","5","128898.32","58","1"
"Morgan Turner","lead332@example.test","+1-202-555-1332","Oakridge Logistics 332","Facebook","converted","1322","8","5","13802.97","87","1"
"Avery Foster","lead333@example.test","+1-202-555-1333","Oakridge Ventures 333","Google Ads","lost","243","2","5","106949.85","106","0"
"Sage Young","lead334@example.test","+1-202-555-1334","Northstar Commerce 334","Email Campaign","lost","1022","13","0","25046.58","176","0"
"Alex Nolan","lead335@example.test","+1-202-555-1335","Lighthouse Supply 335","Google Ads","lost","897","13","0","173376.46","111","0"
"Finley Young","lead336@example.test","+1-202-555-1336","Northstar Supply 336","Website","lost","294","9","5","185712.17","10","0"
"Emerson Reed","lead337@example.test","+1-202-555-1337","Lighthouse Media 337","LinkedIn","contacted","1283","14","1","88595.01","25","1"
"Parker Dawson","lead338@example.test","+1-202-555-1338","Atlas Logistics 338","Website","lost","1730","11","2","55145.45","119","0"
"Sage Monroe","lead339@example.test","+1-202-555-1339","Redwood Partners 339","Email Campaign","qualified","1295","13","3","149763.95","79","1"
"Rowan Sawyer","lead340@example.test","+1-202-555-1340","Atlas Ventures 340","Referral","lost","1020","4","5","15125.6","97","0"
"Jordan Carter","lead341@example.test","+1-202-555-1341","Atlas Systems 341","Website","contacted","237","4","5","74561.23","12","1"
"Quinn Dawson","lead342@example.test","+1-202-555-1342","Oakridge Ventures 342","Cold Call","contacted","922","11","4","96634.4","108","1"
"Riley Young","lead343@example.test","+1-202-555-1343","Atlas Solutions 343","Cold Call","qualified","137","9","5","174286.13","75","1"
"Skyler Keller","lead344@example.test","+1-202-555-1344","Redwood Systems 344","Google Ads","contacted","62","2","4","129103.57","97","0"
"Finley Palmer","lead345@example.test","+1-202-555-1345","Atlas Partners 345","Google Ads","converted","451","9","4","41284.15","42","1"
"Sage Griffin","lead346@example.test","+1-202-555-1346","Atlas Ventures 346","Facebook","lost","106","0","2","111246.02","43","0"
"Drew Keller","lead347@example.test","+1-202-555-1347","Evergreen Solutions 347","Google Ads","qualified","863","14","0","171006.58","97","1"
"Taylor Palmer","lead348@example.test","+1-202-555-1348","Redwood Works 348","Google Ads","qualified","1327","6","0","119525.32","71","1"
"Morgan Turner","lead349@example.test","+1-202-555-1349","Northstar Commerce 349","Google Ads","qualified","354","15","2","152748.36","121","1"
"Kendall Monroe","lead350@example.test","+1-202-555-1350","Brightline Media 350","LinkedIn","qualified","829","12","4","100077.99","132","1"
"Hayden Nolan","lead351@example.test","+1-202-555-1351","Brightline Ventures 351","Email Campaign","converted","1837","15","2","125175.13","5","1"
"Emerson Reed","lead352@example.test","+1-202-555-1352","Silver Birch Solutions 352","LinkedIn","converted","1245","7","3","17475.26","15","1"
"Jordan Sawyer","lead353@example.test","+1-202-555-1353","Northstar Systems 353","Facebook","new","393","4","0","109722.5","151","0"
"Taylor Jensen","lead354@example.test","+1-202-555-1354","Northstar Partners 354","LinkedIn","contacted","720","13","0","43144.55","153","0"
"Skyler Griffin","lead355@example.test","+1-202-555-1355","Cedar Systems 355","Cold Call","converted","1529","13","4","89021.66","16","1"
"Taylor Jensen","lead356@example.test","+1-202-555-1356","Brightline Works 356","Website","qualified","523","7","0","24049.05","88","0"
"Finley Foster","lead357@example.test","+1-202-555-1357","Summit Partners 357","Email Campaign","converted","1383","9","1","193376.29","70","1"
"Hayden Sawyer","lead358@example.test","+1-202-555-1358","Horizon Health 358","Cold Call","contacted","1384","4","2","146986.64","133","0"
"Alex Palmer","lead359@example.test","+1-202-555-1359","Horizon Analytics 359","Website","qualified","496","0","0","94409.76","166","0"
"Hayden Dawson","lead360@example.test","+1-202-555-1360","Keystone Works 360","Website","qualified","1785","4","1","11067.62","61","1"
"Riley Warren","lead361@example.test","+1-202-555-1361","Clearpath Partners 361","Website","converted","1722","12","2","26981.62","83","1"
"Morgan Whitaker","lead362@example.test","+1-202-555-1362","Redwood Works 362","Facebook","lost","463","5","4","54767.35","40","0"
"Jordan Warren","lead363@example.test","+1-202-555-1363","Atlas Commerce 363","Cold Call","contacted","50","12","1","125290.96","129","0"
"Jordan Nolan","lead364@example.test","+1-202-555-1364","Cedar Works 364","Cold Call","contacted","383","2","1","115664.16","132","0"
"Emerson Nolan","lead365@example.test","+1-202-555-1365","Keystone Analytics 365","Website","qualified","54","4","4","174926.19","144","1"
"Reese Sawyer","lead366@example.test","+1-202-555-1366","Cedar Commerce 366","LinkedIn","contacted","1061","8","1","159479.26","60","1"
"Sage Turner","lead367@example.test","+1-202-555-1367","Silver Birch Works 367","Website","new","1795","7","0","36533.31","151","0"
"Parker Bennett","lead368@example.test","+1-202-555-1368","Redwood Ventures 368","Google Ads","qualified","264","3","4","43620.97","141","0"
"Jordan Turner","lead369@example.test","+1-202-555-1369","Horizon Logistics 369","Website","contacted","173","12","1","6299.19","67","0"
"Skyler Monroe","lead370@example.test","+1-202-555-1370","Lighthouse Media 370","Email Campaign","contacted","1676","8","5","194556.28","178","0"
"Cameron Reed","lead371@example.test","+1-202-555-1371","Oakridge Labs 371","Google Ads","contacted","136","7","5","94349.55","74","0"
"Casey Turner","lead372@example.test","+1-202-555-1372","Evergreen Supply 372","Website","new","1809","6","3","113307.91","173","0"
"Riley Jensen","lead373@example.test","+1-202-555-1373","Lighthouse Works 373","LinkedIn","contacted","483","1","4","106697.18","141","0"
"Riley Griffin","lead374@example.test","+1-202-555-1374","Blue Oak Logistics 374","Email Campaign","converted","515","7","5","187138.12","83","1"
"Jamie Carter","lead375@example.test","+1-202-555-1375","Silver Birch Solutions 375","Cold Call","lost","1815","8","1","172189.72","102","0"
"Finley Foster","lead376@example.test","+1-202-555-1376","Summit Works 376","Cold Call","new","196","11","4","187148.62","136","0"
"Finley Griffin","lead377@example.test","+1-202-555-1377","Atlas Ventures 377","LinkedIn","converted","154","10","2","164547.75","78","1"
"Sage Harper","lead378@example.test","+1-202-555-1378","Clearpath Ventures 378","LinkedIn","qualified","1713","8","1","164269.6","83","1"
"Morgan Sawyer","lead379@example.test","+1-202-555-1379","Lighthouse Solutions 379","Email Campaign","contacted","237","15","2","44239.51","180","0"
"Quinn Turner","lead380@example.test","+1-202-555-1380","Keystone Solutions 380","Email Campaign","converted","585","8","5","5466.26","8","1"
"Jordan West","lead381@example.test","+1-202-555-1381","Redwood Health 381","Website","converted","352","14","5","47931.18","9","1"
"Emerson Keller","lead382@example.test","+1-202-555-1382","Summit Works 382","Facebook","qualified","917","3","3","89490.83","95","0"
"Skyler Ellis","lead383@example.test","+1-202-555-1383","Summit Ventures 383","Google Ads","converted","1710","14","3","140769.16","17","1"
"Avery Keller","lead384@example.test","+1-202-555-1384","Redwood Systems 384","Google Ads","contacted","1942","7","0","12582.25","105","0"
"Hayden Palmer","lead385@example.test","+1-202-555-1385","Pioneer Logistics 385","Email Campaign","qualified","1261","5","4","124036.57","65","1"
"Alex West","lead386@example.test","+1-202-555-1386","Blue Oak Labs 386","Cold Call","qualified","858","0","1","130621.12","80","0"
"Skyler Foster","lead387@example.test","+1-202-555-1387","Oakridge Analytics 387","Email Campaign","lost","561","13","0","37225.77","163","0"
"Rowan Nolan","lead388@example.test","+1-202-555-1388","Northstar Health 388","Cold Call","converted","222","12","1","43012.58","14","1"
"Rowan Palmer","lead389@example.test","+1-202-555-1389","Silver Birch Commerce 389","LinkedIn","contacted","1639","4","3","126331.83","103","0"
"Jordan Harper","lead390@example.test","+1-202-555-1390","Silver Birch Partners 390","Google Ads","converted","1386","6","3","102893.61","48","1"
"Alex Reed","lead391@example.test","+1-202-555-1391","Redwood Systems 391","Email Campaign","lost","217","12","1","98016.5","149","0"
"Morgan Reed","lead392@example.test","+1-202-555-1392","Summit Commerce 392","Google Ads","contacted","862","0","0","103783.77","120","0"
"Alex Jensen","lead393@example.test","+1-202-555-1393","Horizon Health 393","Email Campaign","qualified","617","15","4","32926.56","10","1"
"Hayden Jensen","lead394@example.test","+1-202-555-1394","Silver Birch Media 394","Email Campaign","qualified","677","0","4","73327.38","89","1"
"Avery Dawson","lead395@example.test","+1-202-555-1395","Brightline Analytics 395","Email Campaign","qualified","1955","4","0","182753.91","82","0"
"Skyler Warren","lead396@example.test","+1-202-555-1396","Horizon Media 396","Referral","converted","1665","7","4","141497.39","64","1"
"Drew Ellis","lead397@example.test","+1-202-555-1397","Pioneer Analytics 397","LinkedIn","converted","274","15","5","30145.05","15","1"
"Emerson Young","lead398@example.test","+1-202-555-1398","Oakridge Supply 398","Cold Call","contacted","1406","10","5","180776.3","93","1"
"Jordan Harper","lead399@example.test","+1-202-555-1399","Pioneer Analytics 399","LinkedIn","contacted","744","6","0","83749.89","154","0"
"Finley Turner","lead400@example.test","+1-202-555-1400","Atlas Supply 400","Facebook","converted","1841","9","5","158237.84","60","1"
"Kendall Warren","lead401@example.test","+1-202-555-1401","Atlas Media 401","Referral","converted","898","15","5","42192.91","83","1"
"Finley Ellis","lead402@example.test","+1-202-555-1402","Cedar Ventures 402","Referral","new","1213","11","0","6148.9","177","0"
"Drew Harper","lead403@example.test","+1-202-555-1403","Cedar Systems 403","Google Ads","lost","772","6","3","113678.35","121","0"
"Taylor Griffin","lead404@example.test","+1-202-555-1404","Clearpath Partners 404","Cold Call","qualified","1908","3","3","36349.91","10","1"
"Cameron Lawson","lead405@example.test","+1-202-555-1405","Evergreen Labs 405","LinkedIn","contacted","889","11","1","185403.94","162","0"
"Alex Bennett","lead406@example.test","+1-202-555-1406","Brightline Systems 406","LinkedIn","qualified","261","2","2","90166.25","139","0"
"Cameron Bennett","lead407@example.test","+1-202-555-1407","Oakridge Partners 407","Website","lost","709","6","1","47395.46","153","0"
"Casey Nolan","lead408@example.test","+1-202-555-1408","Northstar Works 408","Website","converted","1062","13","2","196961.25","67","1"
"Taylor Bennett","lead409@example.test","+1-202-555-1409","Keystone Works 409","Email Campaign","lost","881","7","1","39844","157","0"
"Parker Nolan","lead410@example.test","+1-202-555-1410","Atlas Works 410","Facebook","contacted","228","14","4","101119.7","116","0"
"Drew Whitaker","lead411@example.test","+1-202-555-1411","Silver Birch Solutions 411","LinkedIn","contacted","311","6","1","171001.26","45","0"
"Quinn Sawyer","lead412@example.test","+1-202-555-1412","Oakridge Partners 412","Cold Call","new","1397","4","1","58706.46","21","0"
"Skyler Lawson","lead413@example.test","+1-202-555-1413","Lighthouse Solutions 413","Website","converted","315","15","2","168598.19","76","1"
"Jordan Bennett","lead414@example.test","+1-202-555-1414","Evergreen Commerce 414","Facebook","qualified","320","2","4","44580.38","102","0"
"Reese Turner","lead415@example.test","+1-202-555-1415","Brightline Labs 415","Referral","converted","1854","11","5","7522.12","63","1"
"Kendall Monroe","lead416@example.test","+1-202-555-1416","Horizon Supply 416","LinkedIn","new","1884","9","1","159605.98","166","0"
"Cameron Sawyer","lead417@example.test","+1-202-555-1417","Brightline Commerce 417","LinkedIn","qualified","1494","7","4","15610.33","5","1"
"Riley Foster","lead418@example.test","+1-202-555-1418","Blue Oak Health 418","Website","qualified","164","13","5","136974.6","34","1"
"Avery Foster","lead419@example.test","+1-202-555-1419","Cedar Analytics 419","Cold Call","contacted","110","0","2","50646.24","110","0"
"Drew Nolan","lead420@example.test","+1-202-555-1420","Blue Oak Ventures 420","Cold Call","contacted","1662","14","2","32673.67","137","0"
"Hayden Reed","lead421@example.test","+1-202-555-1421","Silver Birch Labs 421","Google Ads","new","1381","10","3","147272.21","72","0"
"Cameron Reed","lead422@example.test","+1-202-555-1422","Redwood Solutions 422","Website","new","634","15","3","21665.46","138","1"
"Quinn Ellis","lead423@example.test","+1-202-555-1423","Blue Oak Solutions 423","Cold Call","contacted","286","13","2","185877.6","28","0"
"Sage Griffin","lead424@example.test","+1-202-555-1424","Summit Health 424","Facebook","converted","1026","12","3","184886.74","18","1"
"Rowan Warren","lead425@example.test","+1-202-555-1425","Redwood Solutions 425","Cold Call","converted","132","13","3","191420.8","53","1"
"Finley Keller","lead426@example.test","+1-202-555-1426","Atlas Media 426","Email Campaign","lost","1424","0","2","126158.82","103","0"
"Casey Lawson","lead427@example.test","+1-202-555-1427","Pioneer Analytics 427","Referral","lost","749","10","0","138499.19","54","0"
"Morgan Nolan","lead428@example.test","+1-202-555-1428","Keystone Labs 428","LinkedIn","qualified","358","4","1","134711.67","39","0"
"Drew Warren","lead429@example.test","+1-202-555-1429","Lighthouse Systems 429","Cold Call","converted","747","15","5","182652.01","83","1"
"Taylor West","lead430@example.test","+1-202-555-1430","Keystone Works 430","Website","contacted","382","8","2","172141.94","168","0"
"Hayden Keller","lead431@example.test","+1-202-555-1431","Summit Labs 431","Google Ads","contacted","976","8","2","88051.18","35","1"
"Riley Harper","lead432@example.test","+1-202-555-1432","Summit Logistics 432","Referral","converted","1910","14","2","127291.15","15","1"
"Avery Harper","lead433@example.test","+1-202-555-1433","Summit Labs 433","LinkedIn","converted","224","7","4","189861","36","1"
"Drew Sawyer","lead434@example.test","+1-202-555-1434","Pioneer Analytics 434","Referral","lost","1617","1","1","123159.25","163","0"
"Casey Griffin","lead435@example.test","+1-202-555-1435","Evergreen Ventures 435","Facebook","qualified","104","7","0","17418.51","109","0"
"Jordan Dawson","lead436@example.test","+1-202-555-1436","Horizon Media 436","Referral","contacted","1237","4","2","5920.05","20","0"
"Alex Griffin","lead437@example.test","+1-202-555-1437","Keystone Works 437","Referral","contacted","101","3","2","157281.93","151","0"
"Taylor Carter","lead438@example.test","+1-202-555-1438","Silver Birch Media 438","Google Ads","converted","507","7","5","157857.93","6","1"
"Taylor Young","lead439@example.test","+1-202-555-1439","Pioneer Partners 439","Referral","contacted","225","1","1","104016.55","100","0"
"Hayden Bennett","lead440@example.test","+1-202-555-1440","Brightline Works 440","LinkedIn","contacted","1413","9","0","116453.44","158","0"
"Drew Turner","lead441@example.test","+1-202-555-1441","Clearpath Systems 441","Email Campaign","qualified","1624","10","0","67625.38","170","0"
